OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a6b17fffffff;34.76416;-0.57107;515.7;11.00597876;2G;857a6b17fffffff;857a6b17fffffff;34.76416;-0.57107
857a6b1bfffffff;35.01254;-0.44505;9.6;0;2G;857a6b1bfffffff;857a6b1bfffffff;35.01254;-0.44505
857a6b43fffffff;35.18294;-0.17736;225.3;0;2G;857a6b43fffffff;857a6b43fffffff;35.18294;-0.17736
857a6b47fffffff;35.02035;-0.16918;0;16.04437429;2G;857a6b47fffffff;857a6b47fffffff;35.02035;-0.16918
857a6b4bfffffff;35.26796;-0.0438;1863.3;13.92903241;2G;857a6b4bfffffff;857a6b4bfffffff;35.26796;-0.0438
857a6b4ffffffff;35.10551;-0.03558;186.3;0;2G;857a6b4ffffffff;857a6b4ffffffff;35.10551;-0.03558
857a6b53fffffff;35.26044;-0.31927;473.1;0;2G;857a6b53fffffff;857a6b53fffffff;35.26044;-0.31927
857a6b57fffffff;35.0978;-0.31111;0;12.07594684;2G;857a6b57fffffff;857a6b57fffffff;35.0978;-0.31111
857a6b5bfffffff;35.34544;-0.18554;3348.9;15.958723879999999;2G;857a6b5bfffffff;857a6b5bfffffff;35.34544;-0.18554
857a6b63fffffff;34.78035;-0.01913;2547;9.112344870000001;2G;857a6b63fffffff;857a6b63fffffff;34.78035;-0.01913
857a6b67fffffff;34.61764;-0.0109;0;0;2G;857a6b67fffffff;857a6b67fffffff;34.61764;-0.0109
857a6b6ffffffff;34.70309;0.12259;0;17.7936364;2G;857a6b6ffffffff;857a6b6ffffffff;34.70309;0.12259
857a6b73fffffff;34.85767;-0.16098;0;14.13984198;2G;857a6b73fffffff;857a6b73fffffff;34.85767;-0.16098
857a6b77fffffff;34.69492;-0.15278;16.5;8.8022597;2G;857a6b77fffffff;857a6b77fffffff;34.69492;-0.15278
857a6b87fffffff;34.75603;-0.84796;835.8;19.7736732;2G;857a6b87fffffff;857a6b87fffffff;34.75603;-0.84796
857a6b8bfffffff;35.00471;-0.72155;4091.1;13.76276164;2G;857a6b8bfffffff;857a6b8bfffffff;35.00471;-0.72155
857a6b8ffffffff;34.84166;-0.71348;0;9.26738762;2G;857a6b8ffffffff;857a6b8ffffffff;34.84166;-0.71348
857a6bbbfffffff;34.67852;-0.7054;181.5;10.992445980000001;2G;857a6bbbfffffff;857a6bbbfffffff;34.67852;-0.7054
857a6bc3fffffff;35.2529;-0.59535;0;8.8877067;2G;857a6bc3fffffff;857a6bc3fffffff;35.2529;-0.59535
857a6bc7fffffff;35.09007;-0.58727;4151.4;12.98742563;2G;857a6bc7fffffff;857a6bc7fffffff;35.09007;-0.58727
857a6bcbfffffff;35.33801;-0.46129;3484.5;12.17136127;2G;857a6bcbfffffff;857a6bcbfffffff;35.33801;-0.46129
857a6bcffffffff;35.17532;-0.45317;0;15.46182409;2G;857a6bcffffffff;857a6bcffffffff;35.17532;-0.45317
857a6bd3fffffff;35.33055;-0.73765;0.6;0;2G;857a6bd3fffffff;857a6bd3fffffff;35.33055;-0.73765
857a6bd7fffffff;35.16768;-0.7296;2749.8;9.63562203;2G;857a6bd7fffffff;857a6bd7fffffff;35.16768;-0.7296
857a6e03fffffff;36.53392;-1.4897;896.1;17.768050849999998;2G;857a6e03fffffff;857a6e03fffffff;36.53392;-1.4897
857a6e0bfffffff;36.61818;-1.35489;1045.8;11.30960304;2G;857a6e0bfffffff;857a6e0bfffffff;36.61818;-1.35489
857a6e1bfffffff;36.69642;-1.49744;1308;0;2G;857a6e1bfffffff;857a6e1bfffffff;36.69642;-1.49744
857a6e43fffffff;36.86449;-1.22807;0;0;2G;857a6e43fffffff;857a6e43fffffff;36.86449;-1.22807
857a6e47fffffff;36.7023;-1.22026;0;13.89151403;2G;857a6e47fffffff;857a6e47fffffff;36.7023;-1.22026
857a6e4bfffffff;36.94833;-1.09366;0;16.83035079;2G;857a6e4bfffffff;857a6e4bfffffff;36.94833;-1.09366
857a6e53fffffff;36.94275;-1.37041;0;9.47707557;2G;857a6e53fffffff;857a6e53fffffff;36.94275;-1.37041
857a6e57fffffff;36.78052;-1.36266;0;10.49624764;2G;857a6e57fffffff;857a6e57fffffff;36.78052;-1.36266
857a6e6bfffffff;36.54604;-0.93576;0;0;2G;857a6e6bfffffff;857a6e6bfffffff;36.54604;-0.93576
857a6e7bfffffff;36.62414;-1.07796;0;12.63732512;2G;857a6e7bfffffff;857a6e7bfffffff;36.62414;-1.07796
857a6e8bfffffff;36.69053;-1.77518;1270.5;13.43589448;2G;857a6e8bfffffff;857a6e8bfffffff;36.69053;-1.77518
