OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a6427fffffff;38.20738;-3.37879;3114;40.49684583;2G;857a6427fffffff;857a642bfffffff;38.45288;-3.24916
857a642ffffffff;38.29063;-3.24231;2235.6;34.277406230000004;2G;857a642ffffffff;857a642bfffffff;38.45288;-3.24916
857a6433fffffff;38.44902;-3.52894;2046.6;22.245539270000002;2G;857a6433fffffff;857a643bfffffff;38.53207;-3.39237
857a6437fffffff;38.28658;-3.5222;758.7;35.87647316;2G;857a6437fffffff;857a643bfffffff;38.53207;-3.39237
857a6493fffffff;38.92888;-4.10918;1045.2;43.44164283;2G;857a6493fffffff;857b4a63fffffff;39.25321;-4.12183
857a649bfffffff;39.01163;-3.97215;2556.3;38.637053;2G;857a649bfffffff;857b4a63fffffff;39.25321;-4.12183
857a64affffffff;38.36584;-3.66567;1614.9;39.89907194;2G;857a64affffffff;857a6407fffffff;38.61132;-3.53563
857a64bbfffffff;38.60764;-3.81577;1056;49.43941295;2G;857a64bbfffffff;857a6407fffffff;38.61132;-3.53563
857a64c3fffffff;39.17672;-3.6986;1917.9;36.54309607;2G;857a64c3fffffff;857b59a7fffffff;39.41788;-3.84812
857a64c7fffffff;39.01484;-3.69209;931.5;53.218306510000005;2G;857a64c7fffffff;857b59a7fffffff;39.41788;-3.84812
857a64cbfffffff;39.25906;-3.56208;2632.2;39.99831128;2G;857a64cbfffffff;857b59affffffff;39.50002;-3.71152
857a64d7fffffff;39.09424;-3.83529;1122.6;41.16408405;2G;857a64d7fffffff;857b4a6bfffffff;39.33561;-3.98489
857a64dbfffffff;39.33844;-3.70508;2044.8;22.05490991;2G;857a64dbfffffff;857b59affffffff;39.50002;-3.71152
857a6503fffffff;37.63544;-3.49493;3007.2;104.93649289;2G;857a6503fffffff;857a60bbfffffff;38.05349;-2.81282
857a650bfffffff;37.71931;-3.35817;6941.7;89.16100224;2G;857a650bfffffff;857a60bbfffffff;38.05349;-2.81282
