OBJECTNAME;LON;LAT;RB;DTF;COV;REGION
876adea56ffffff;29.450384;-1.883539;61;9,48;3G;RWA
876add588ffffff;30.345467;-1.4870317;8;9,38;3G;RWA
876adc654ffffff;29.807896;-1.6003709;49;9,38;2G;RWA
876adeae5ffffff;29.437546;-1.9029927;58;7,9;2G;RWA
876ad8422ffffff;29.804518;-2.3846033;79;6,92;3G;RWA
876ade610ffffff;29.02349;-2.5671341;263;13,73;2G;RWA
876ad8cd4ffffff;29.78;-2.1616986;82;6,85;2G;RWA
876add558ffffff;30.55056;-1.39716;20;23,75;2G;RWA
876ad8b45ffffff;30.6173;-1.7412474;6;24,72;2G;RWA
876ad805affffff;30.332935;-2.2498212;2;22,87;3G;RWA
876ade381ffffff;29.27708;-2.2571955;6;6,96;3G;RWA
876ad8196ffffff;29.93275;-2.1895103;112;16,43;2G;RWA
876ad8869ffffff;30.346817;-1.7076654;90;18,58;2G;RWA
876ad836bffffff;30.727808;-2.1688051;64;15,9;3G;RWA
876adc2c1ffffff;30.145985;-1.4569955;17;14,43;3G;RWA
876adc6a2ffffff;29.59147;-1.6697227;64;13,15;2G;RWA
876adead3ffffff;29.3949;-2.041632;130;16,14;2G;RWA
876ad8ca1ffffff;29.689419;-2.0766144;63;5,27;2G;RWA
876adc754ffffff;29.732306;-1.4562328;53;11,37;2G;RWA
876ad816dffffff;30.32264;-1.9675729;70;12,05;2G;RWA
876ade210ffffff;29.369665;-2.302193;0;18,4;3G;RWA
876ade2d6ffffff;29.421633;-2.446001;58;16,45;3G;RWA
876addcf0ffffff;30.407736;-1.1699625;164;42,31;3G;RWA
876ad8d23ffffff;29.690668;-1.8152776;64;12,96;3G;RWA
876ad880effffff;30.143288;-1.7576883;61;24,68;2G;RWA
876ada8e0ffffff;29.547415;-2.7755463;82;11,31;2G;RWA
876ade2e9ffffff;29.567785;-2.3726869;39;13,46;3G;RWA
876ad80a3ffffff;30.083576;-2.257501;56;4,55;2G;RWA
876adc2f2ffffff;30.05166;-1.4522599;70;11,22;2G;RWA
876ad8558ffffff;29.924858;-2.350317;82;18,45;3G;RWA
876ade211ffffff;29.393332;-2.3033893;45;20,87;3G;RWA
876adea24ffffff;29.338455;-1.7573298;149;9,06;3G;RWA
876ad8daaffffff;29.635359;-1.9732963;41;4,47;2G;RWA
876ad8b64ffffff;30.584688;-1.6794267;12;24,96;2G;RWA
876ade393ffffff;29.21479;-2.3145134;128;6,85;2G;RWA
876ade35bffffff;29.5286;-2.2094586;45;26,73;3G;RWA
876ad8349ffffff;30.74961;-2.210147;30;15,94;3G;RWA
876ad84f5ffffff;29.856749;-2.528462;118;13,64;3G;RWA
876adead4ffffff;29.37332;-2.0003004;98;11,26;2G;RWA
876ade448ffffff;28.889935;-2.3988528;63;11,29;2G;RWA
876ad84b0ffffff;29.67809;-2.5396693;95;5,21;2G;RWA
876adc6eaffffff;29.814728;-1.7010386;52;6,9;2G;RWA
876ad8975ffffff;30.15295;-1.5575486;16;10,51;3G;RWA
876ad812bffffff;30.155306;-1.9994162;288;30,99;2G;RWA
876ada955ffffff;29.533916;-2.572788;73;8,98;2G;RWA
876ad9c9cffffff;30.831451;-2.2343402;79;24,11;2G;RWA
876ad884cffffff;30.32131;-1.7465296;66;23,63;2G;RWA
876ade302ffffff;29.330622;-2.1390326;57;16,32;2G;RWA
876ad8935ffffff;29.987814;-1.5492584;79;7,89;3G;RWA
876ad8389ffffff;30.494753;-2.338479;144;15,91;2G;RWA
876ad809cffffff;30.07968;-2.3379161;32;5,2;3G;RWA
876adc66bffffff;29.927853;-1.5662949;60;9,3;3G;RWA
876ade31dffffff;29.365065;-2.1609132;105;18,18;2G;RWA
876ad8432ffffff;29.755169;-2.4224622;80;7,81;2G;RWA
876ade303ffffff;29.354273;-2.140229;227;18,32;2G;RWA
876ad8423ffffff;29.82819;-2.3857925;67;9,09;3G;RWA
876ad8baeffffff;30.375586;-1.8496449;69;12,98;2G;RWA
876ad80c3ffffff;30.258133;-2.3266826;52;14,67;3G;RWA
876ad8d68ffffff;29.903238;-1.8259718;49;15,68;2G;RWA
876add59dffffff;30.309143;-1.505249;10;11,43;3G;RWA
876ad81a2ffffff;29.983986;-2.1115463;95;22,5;3G;RWA
876ad88a3ffffff;30.02133;-1.8319021;70;21,31;2G;RWA
876ad8b83ffffff;30.36093;-1.9091866;79;9,08;2G;RWA
876ad8ab3ffffff;30.378862;-2.0307071;89;10,36;2G;RWA
876add58bffffff;30.356308;-1.5076118;16;6,9;2G;RWA
876add50affffff;30.421867;-1.3706992;50;20,08;3G;RWA
876adc702ffffff;29.614386;-1.4502903;143;4,46;2G;RWA
876ad8b2affffff;30.475687;-1.7341774;80;20,14;3G;RWA
876ade65affffff;29.234632;-2.6182513;43;27,69;3G;RWA
876adea59ffffff;29.555687;-1.908956;73;7,9;3G;RWA
876add554ffffff;30.481726;-1.3536808;30;23,6;3G;RWA
876ad8db1ffffff;29.564455;-1.9697218;62;9,08;3G;RWA
876ade700ffffff;28.997536;-2.3841543;93;9,09;2G;RWA
876ad8d15ffffff;29.652216;-1.8736212;92;5,19;2G;RWA
876ad8551ffffff;29.890345;-2.3284252;56;14,67;3G;RWA
876ad8b72ffffff;30.533758;-1.7571484;59;18,61;3G;RWA
876ad8333ffffff;30.454979;-2.1753588;62;7,9;3G;RWA
876ada90bffffff;29.47366;-2.589943;42;9,43;3G;RWA
876ad8b55ffffff;30.568232;-1.7789425;41;18,12;3G;RWA
876adc611ffffff;29.677105;-1.6138442;60;4,53;3G;RWA
876ad8892ffffff;29.95737;-1.9291706;84;25,67;2G;RWA
876ad8485ffffff;29.749155;-2.5432441;125;4,49;2G;RWA
876add514ffffff;30.316757;-1.3454155;96;24,65;2G;RWA
876ada94cffffff;29.617853;-2.5568264;49;9,42;3G;RWA
876ade2a9ffffff;29.402075;-2.3643212;50;22,84;3G;RWA
876ade6b4ffffff;28.913668;-2.6221464;70;13,72;2G;RWA
876ad8885ffffff;30.032162;-1.8525357;164;23,85;2G;RWA
876ad835cffffff;30.66593;-2.2261245;39;6,9;2G;RWA
876ada942ffffff;29.557608;-2.573983;83;8,98;3G;RWA
876add584ffffff;30.276632;-1.4435169;66;18,27;3G;RWA
876ad8704ffffff;30.146801;-2.421928;38;13,71;3G;RWA
876ad9c80ffffff;30.833275;-2.1941674;102;25,3;2G;RWA
876adea14ffffff;29.297852;-1.8557297;140;6,9;2G;RWA
876ad8d83ffffff;29.6097;-2.0122328;59;9,32;2G;RWA
876ad8022ffffff;30.149502;-2.1198404;47;18,1;2G;RWA
876ad881cffffff;30.106903;-1.7759423;52;25;2G;RWA
876ad8000ffffff;30.171213;-2.1611874;5;14,42;2G;RWA
