METHODOLOGY;ALGORITHM;FORMULA;PNAME;PDESC;UNIT;RSTART;REND;STEP;DVALUE;TYPE;TYPE2;SORTA;SORTM
METHOD2;ALL;;;;;;;;;;;;
METHOD2;ALGORITHM2_0;ALL;;;;;;;;IM;;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_1;InitialDataTraffic.InformationVolume;Information volume by one standard session for a particular service;Mbyte;0.00;10000.00;1.00;20.00;ID;ID;1;1
METHOD2;ALGORITHM2_0;FORMULA_2_0_1;InitialDataTraffic.BitrateOfService;Sufficient bitrate for service usage with a given level of quality;Mbit/s;1.00;1000.00;1.00;5.00;ID;ID;2;2
METHOD2;ALGORITHM2_0;FORMULA_2_0_2;InitialDataTraffic.IntensivityPerUser;Service usage intensity by one subscriber (the number of requests) ;request/hour;0.00;100.00;1.00;3.00;ID;ID;3;3
METHOD2;ALGORITHM2_0;FORMULA_2_0_2;InitialDataTraffic.NumberOfSubscribers;Number of subscribers ;people;0.00;20000.00;1.00;100.00;ID;ID;4;4
METHOD2;ALGORITHM2_0;FORMULA_2_0_3;Intermediate.OveralIntensivity;Expected request intensity;request/hour;0.00;1000.00;1.00;3.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_3;Intermediate.DurationOfOneSession;Duration of the one session;sec;0.00;5000.00;100.00;10.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_4;Intermediate.ExternalLoad;External channel load;Erlang;0.00;100.00;1.00;10.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_4;InitialDataTraffic.LevelOfQuality;Level of quality (probablity of packet looses) ;coeff;0.00;1.00;0.00;0.00;ID;ID;5;5
METHOD2;ALGORITHM2_0;FORMULA_2_0_5;Intermediate.NumberOfSessions;Number of parallel sessions;sessions;0.00;1000.00;1.00;10.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_5;InitialDataTraffic.BitrateOfService;Sufficient bitrate for service usage with a given level of quality;Mbit/s;1.00;1000.00;1.00;5.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_6;Intermediate.OveralNetworkCapacity;Overall network channel capacity, required for parallel sessions;Mbit/s;1.00;10000.00;5.00;5.00;IM;IM;;
METHOD2;ALGORITHM2_1;ALL;;;;;;;;IM;;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_1;InitialDataFOCL.Length;The distance between the localities along intended FOCL route;km;0.10;40.00;0.10;20.00;ID;ID;2;9
METHOD2;ALGORITHM2_1;FORMULA_2_1_2;Intermediate.FOCLLenghtTotal;Overall length of the FOCL construction site;km;1.00;50.00;1.00;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_3;Intermediate.FOCLLenghtTotal;Overall length of the FOCL construction site;km;1.00;50.00;1.00;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_4;Intermediate.FOCLLenghtTotal;Overall length of the FOCL construction site;km;1.00;50.00;1.00;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_5;Intermediate.FOCLLenghtTotal;Overall length of the FOCL construction site;km;1.00;50.00;1.00;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_6;InitialDataFOCL.Length;The distance between the localities along intended FOCL route;km;0.10;40.00;0.10;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_6;InitialDataFOCL.LaborCostNormGeo;Labor cost norms for geodetic work along FOCL route between localities (communities);hour/km;1.00;5.00;1.00;20.00;ID;ID;3;10
METHOD2;ALGORITHM2_1;FORMULA_2_1_6;InitialDataFOCL.CostNormGeo;Cost norms for  geodetic work along object route;currency unit/hour;10.00;500.00;10.00;100.00;ID;ID;4;11
METHOD2;ALGORITHM2_1;FORMULA_2_1_7;InitialDataFOCL.CostNormFOCLinst;Cost of one km FOCL installation;currency unit/km;50.00;100000.00;50.00;100.00;ID;ID;5;12
METHOD2;ALGORITHM2_1;FORMULA_2_1_7;InitialDataFOCL.Length;The distance between the localities along intended FOCL route;km;0.10;40.00;0.10;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_7;Intermediate.FOCLLenghtHDD;The average FOCL sections length of horizontal directional drilling, located at the crossings of roads;km;0.00;1000.00;1.00;20.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_8;InitialDataFOCL.LaborCostNormHDD;Labor cost norms for roads crossings construction by horizontal directional drilling;hour/km;500.00;10000.00;500.00;20.00;ID;ID;6;13
METHOD2;ALGORITHM2_1;FORMULA_2_1_8;InitialDataFOCL.CostNormHDD;Cost norms for roads crossings construction by horizontal directional drilling;currency unit/hour;2.00;50.00;2.00;50.00;ID;ID;7;14
METHOD2;ALGORITHM2_1;FORMULA_2_1_9;Intermediate.FOCLSectionLengthCD;The average FOCL sections length requiring the construction of cable ducts;km;0.00;1000.00;1.00;20.00;ID;ID;8;15
METHOD2;ALGORITHM2_1;FORMULA_2_1_9;InitialDataFOCL.LaborCostNormCDC;Labor cost norms for cable duct construction;hour/km;2.00;100.00;1.00;20.00;ID;ID;9;16
METHOD2;ALGORITHM2_1;FORMULA_2_1_9;InitialDataFOCL.CostNormCDC;Cost norms for cable duct construction;currency unit/hour;5.00;50.00;2.00;100.00;ID;ID;10;17
METHOD2;ALGORITHM2_1;FORMULA_2_1_9;InitialDataFOCL.CostNormMaterialsCD;Cost of basic materials for one km cable duct (pipe) construction;currency unit/km;2000.00;50000.00;50.00;100.00;ID;ID;11;18
METHOD2;ALGORITHM2_1;FORMULA_2_1_10;Intermediate.FOCLSectionLengthCLM;The average FOCL sections length requiring cable-laying machine;km;0.00;100.00;0.10;20.00;ID;ID;1;19
METHOD2;ALGORITHM2_1;FORMULA_2_1_10;InitialDataFOCL.LaborCostNormLC;Labor cost norms for FOCL laying by cable layer ;hour/km;4.00;24.00;4.00;20.00;ID;ID;12;20
METHOD2;ALGORITHM2_1;FORMULA_2_1_10;InitialDataFOCL.CostNormLC;Cost norms for FOCL laying by cable layer;currency unit/hour;0.00;1000.00;10.00;100.00;ID;ID;13;21
METHOD2;ALGORITHM2_1;FORMULA_2_1_11;InitialDataFOCL.CostNormMaterialsCMh;Cost of basic materials for one km cable manhole;current unit/unit;500.00;50000.00;50.00;200.00;ID;ID;14;22
METHOD2;ALGORITHM2_1;FORMULA_2_1_11;InitialDataFOCL.LaborCostNormCMh;"Labor cost norms for cable manhole construction 
including FOC installation";hour/unit;10.00;100.00;10.00;100.00;ID;ID;15;23
METHOD2;ALGORITHM2_1;FORMULA_2_1_11;InitialDataFOCL.CostNormCMh;Cost norms for cable manhole construction;currency unit/hour;0.00;1000.00;10.00;100.00;ID;ID;16;24
METHOD2;ALGORITHM2_1;FORMULA_2_1_11;Intermediate.NumberCMh;Number of cable manholes (CMh) ;unit (pcs);0.00;100.00;1.00;5.00;IM;IM;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_12;InitialDataFOCL.CostNormCC1km;Cost of cable coupling;current unit/unit;10.00;100.00;10.00;200.00;ID;ID;17;25
METHOD2;ALGORITHM2_1;FORMULA_2_1_12;InitialDataFOCL.LaborCostNormCCI;Labor cost norms for cable couplings installation;hour/unit;2.00;40.00;2.00;100.00;ID;ID;18;26
METHOD2;ALGORITHM2_1;FORMULA_2_1_12;InitialDataFOCL.CostNormCCI;Cost norms for cable couplings installation;currency unit/hour;1.00;10.00;1.00;100.00;ID;ID;19;27
METHOD2;ALGORITHM2_1;FORMULA_2_1_12;Intermediate.NumberCC;Number of cable couplings ;unit (pcs);0.00;100.00;1.00;5.00;IM;IM;;
