identifier,name,alt_name,lat,long,admin_name,admin_code,population,flag,area
700000796,Koghbavan,,40.1501,43.7529,Armavir,AM-AV,115,PM,#VALUE!
700000797,Hank’avan,,40.6351,44.4841,Kotayk',AM-KT,112,PM,#VALUE!
700000798,Kaghnut,,39.279,46.512,Syunik',AM-SU,106,PM,5.84
700000799,Sevak’ar,,39.271,46.4441,Syunik',AM-SU,105,PM,#VALUE!
700000800,Sevak’ar,,39.271,46.4441,Syunik',AM-SU,105,PM,#VALUE!
700000801,Tashtun,,39.0667,46.1695,Syunik',AM-SU,105,PM,21.60
700000802,Azat,,40.1111,45.1251,Geghark'unik',AM-GR,102,PM,#VALUE!
700000803,Azati,,40.4195,45.1055,Geghark'unik',AM-GR,102,PM,#VALUE!
700000804,Bendik,,41.1549,44.7133,Lorri,AM-LO,102,PM,#VALUE!
700000805,Meghvahovit,,41.0992,44.1551,Lorri,AM-LO,102,PM,#VALUE!
700000806,Jaghats’adzor,,40.1491,45.8167,Geghark'unik',AM-GR,101,PM,#VALUE!
700000807,Vardavank’,,39.2416,46.4998,Syunik',AM-SU,101,PM,6.76
700000808,Aghvani,,39.3551,46.3054,Syunik',AM-SU,99,PM,9.92
700000809,Halavar,,40.7632,44.3852,Lorri,AM-LO,99,PM,#VALUE!
700000810,Hako,,40.3861,43.6917,Aragatsotn,AM-AG,96,PM,#VALUE!
700000811,Salkut,,40.9666,43.9333,Lorri,AM-SH,94,PM,#VALUE!
700000812,Salut,,40.9671,43.9332,Shirak,AM-SH,94,PM,#VALUE!
700000813,Okhtar,,39.2808,46.3605,Syunik',AM-SU,93,PM,3.30
700000814,Tavrus,,39.2976,46.359,Syunik',AM-SU,92,PM,3.76
700000815,Mirak’,,40.645,44.324,Aragatsotn,AM-AG,90,PM,#VALUE!
700000816,Srashen,,39.0779,46.5001,Syunik',AM-SU,90,PM,8.88
700000817,Vardaghbyur,,40.5793,43.9611,Shirak,AM-SH,90,PM,#VALUE!
700000818,Kavshut,,39.1973,46.2167,Syunik',AM-SU,88,PM,#VALUE!
700000819,Mozrov,,39.7008,45.3402,Vayots' Dzor,AM-VD,88,PM,#VALUE!
700000820,Tandzatap’,,39.3745,46.258,Syunik',AM-SU,88,PM,7.32
700000821,Getishen,,39.2262,46.1289,Syunik',AM-SU,87,PM,#VALUE!
700000822,Shaghik,,41.0487,43.5888,Shirak,AM-SH,85,PM,#VALUE!
700000823,Getavan,,41.0541,44.3367,Lorri,AM-LO,84,PM,#VALUE!
700000824,Gogavan,,41.2028,44.3144,Lorri,AM-LO,84,PM,#VALUE!
700000825,Ltsen,,39.4473,46.1571,Syunik',AM-SU,76,PM,15.96
700000826,Shrvenants’,,39.2861,46.3914,Syunik',AM-SU,76,PM,5.83
700000827,Gomaran,,39.0945,46.2083,Syunik',AM-SU,71,PM,#VALUE!
700000828,Tsaghkasar,,40.4723,43.9057,Aragatsotn,AM-AG,71,PM,#VALUE!
700000829,T’khkut,,38.9873,46.2083,Syunik',AM-SU,69,PM,#VALUE!
700000830,Barepat,,40.6695,45.114,Geghark'unik',AM-GR,68,PM,#VALUE!
700000831,Vanek’,,39.2808,46.3444,Syunik',AM-SU,62,PM,#VALUE!
700000832,Paghakn,,41.0645,43.653,Shirak,AM-SH,60,PM,#VALUE!
700000833,Uzhanis,,39.2361,46.5408,Syunik',AM-SU,60,PM,#VALUE!
700000834,Arevis,,39.4063,45.9002,Syunik',AM-SU,55,PM,18.30
700000835,Bashgyugh,,40.9444,43.9693,Shirak,AM-SH,54,PM,#VALUE!
